,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,labels
0,0.875,0.471,1,-11.791,1,0.0526,0.369,0.511,0.137,0.96,112.024,audio_features,1tXB89xpEt20ZlSbEkxk29,spotify:track:1tXB89xpEt20ZlSbEkxk29,https://api.spotify.com/v1/tracks/1tXB89xpEt20ZlSbEkxk29,https://api.spotify.com/v1/audio-analysis/1tXB89xpEt20ZlSbEkxk29,227776,4,6
1,0.596,0.814,9,-8.481,1,0.056,0.00118,0.00286,0.102,0.255,133.203,audio_features,5UatawMsGULDVG2h8wE1KS,spotify:track:5UatawMsGULDVG2h8wE1KS,https://api.spotify.com/v1/tracks/5UatawMsGULDVG2h8wE1KS,https://api.spotify.com/v1/audio-analysis/5UatawMsGULDVG2h8wE1KS,288349,4,9
2,0.671,0.663,0,-5.732,1,0.0789,0.654,3.41e-06,0.0932,0.332,176.007,audio_features,6Xm16BNM5WBcsOp6aAepFL,spotify:track:6Xm16BNM5WBcsOp6aAepFL,https://api.spotify.com/v1/tracks/6Xm16BNM5WBcsOp6aAepFL,https://api.spotify.com/v1/audio-analysis/6Xm16BNM5WBcsOp6aAepFL,146846,4,8
3,0.74,0.503,1,-11.347,1,0.0522,0.0898,0.0665,0.118,0.548,118.026,audio_features,2zR85boqjMOKPygjdDbGbC,spotify:track:2zR85boqjMOKPygjdDbGbC,https://api.spotify.com/v1/tracks/2zR85boqjMOKPygjdDbGbC,https://api.spotify.com/v1/audio-analysis/2zR85boqjMOKPygjdDbGbC,250521,4,7
4,0.654,0.804,9,-5.437,1,0.0505,0.00431,0.635,0.204,0.208,173.972,audio_features,4WlSrA0dALD8NXSOTNhjNT,spotify:track:4WlSrA0dALD8NXSOTNhjNT,https://api.spotify.com/v1/tracks/4WlSrA0dALD8NXSOTNhjNT,https://api.spotify.com/v1/audio-analysis/4WlSrA0dALD8NXSOTNhjNT,284444,1,10
5,0.738,0.713,1,-5.977,0,0.0444,0.0999,1.06e-06,0.0542,0.49,126.077,audio_features,3J3EdH1ZgXqk1ROTzQOF0U,spotify:track:3J3EdH1ZgXqk1ROTzQOF0U,https://api.spotify.com/v1/tracks/3J3EdH1ZgXqk1ROTzQOF0U,https://api.spotify.com/v1/audio-analysis/3J3EdH1ZgXqk1ROTzQOF0U,189266,4,7
6,0.661,0.281,3,-11.854,1,0.0671,0.572,0.00929,0.109,0.218,129.9,audio_features,1No3OKWvdgtctLvSKQcREg,spotify:track:1No3OKWvdgtctLvSKQcREg,https://api.spotify.com/v1/tracks/1No3OKWvdgtctLvSKQcREg,https://api.spotify.com/v1/audio-analysis/1No3OKWvdgtctLvSKQcREg,190433,4,5
7,0.782,0.614,7,-6.906,1,0.0475,0.212,0.781,0.16,0.711,97.575,audio_features,6lzAGvpGoMJq3Y601qvqUa,spotify:track:6lzAGvpGoMJq3Y601qvqUa,https://api.spotify.com/v1/tracks/6lzAGvpGoMJq3Y601qvqUa,https://api.spotify.com/v1/audio-analysis/6lzAGvpGoMJq3Y601qvqUa,308989,4,6
8,0.64,0.785,11,-5.216,0,0.0599,0.0172,2.92e-06,0.0367,0.329,98.039,audio_features,5B4OHfhleFoPLnR2VFRePO,spotify:track:5B4OHfhleFoPLnR2VFRePO,https://api.spotify.com/v1/tracks/5B4OHfhleFoPLnR2VFRePO,https://api.spotify.com/v1/audio-analysis/5B4OHfhleFoPLnR2VFRePO,190623,4,3
9,0.604,0.788,11,-7.38,1,0.0583,0.174,0.0,0.0404,0.772,100.026,audio_features,0Muqa8sNqVvjEQo4yfBKXw,spotify:track:0Muqa8sNqVvjEQo4yfBKXw,https://api.spotify.com/v1/tracks/0Muqa8sNqVvjEQo4yfBKXw,https://api.spotify.com/v1/audio-analysis/0Muqa8sNqVvjEQo4yfBKXw,272125,4,0
